Bundling 6%
Bundling 19%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Getting composition
Composition          AionNexus
Codec                h264
Output               out.mp4
Concurrency          2x
Rendered 0/1800
Rendered 1/1800, time remaining: 53m 45s
Rendered 2/1800, time remaining: 29m 43s
Rendered 3/1800, time remaining: 30m 32s
Rendered 4/1800, time remaining: 24m 13s
Rendered 5/1800, time remaining: 25m 16s
Rendered 6/1800, time remaining: 21m 49s
Rendered 7/1800, time remaining: 22m 50s
Rendered 8/1800, time remaining: 20m 39s
Rendered 9/1800, time remaining: 21m 41s
Rendered 10/1800, time remaining: 20m 6s
Rendered 11/1800, time remaining: 20m 45s
Rendered 12/1800, time remaining: 19m 32s
Rendered 13/1800, time remaining: 20m 14s
Rendered 14/1800, time remaining: 19m 21s
Rendered 15/1800, time remaining: 19m 53s
Rendered 16/1800, time remaining: 19m 5s
Rendered 17/1800, time remaining: 19m 38s
Rendered 18/1800, time remaining: 18m 55s
Rendered 19/1800, time remaining: 19m 42s
Rendered 20/1800, time remaining: 19m 2s
Rendered 21/1800, time remaining: 19m 35s
Rendered 22/1800, time remaining: 19m 6s
Rendered 23/1800, time remaining: 19m 44s
Rendered 24/1800, time remaining: 19m 0s
Rendered 25/1800, time remaining: 19m 32s
Rendered 26/1800, time remaining: 18m 52s
Rendered 27/1800, time remaining: 19m 22s
Rendered 28/1800, time remaining: 18m 43s
Rendered 29/1800, time remaining: 19m 12s
Rendered 30/1800, time remaining: 18m 38s
Rendered 31/1800, time remaining: 19m 0s
Rendered 32/1800, time remaining: 18m 29s
Rendered 33/1800, time remaining: 18m 53s
Rendered 34/1800, time remaining: 18m 29s
Rendered 35/1800, time remaining: 18m 43s
Rendered 36/1800, time remaining: 18m 28s
Rendered 37/1800, time remaining: 18m 56s
Rendered 38/1800, time remaining: 18m 42s
Rendered 39/1800, time remaining: 19m 19s
Rendered 40/1800, time remaining: 19m 6s
Rendered 41/1800, time remaining: 19m 32s
Rendered 42/1800, time remaining: 19m 17s
Rendered 43/1800, time remaining: 19m 37s
Rendered 44/1800, time remaining: 19m 26s
Rendered 45/1800, time remaining: 19m 59s
Rendered 46/1800, time remaining: 19m 52s
Rendered 47/1800, time remaining: 20m 26s
Rendered 48/1800, time remaining: 20m 13s
Rendered 49/1800, time remaining: 20m 57s
Rendered 50/1800, time remaining: 20m 33s
Rendered 51/1800, time remaining: 21m 0s
Rendered 52/1800, time remaining: 20m 38s
Rendered 53/1800, time remaining: 20m 48s
Rendered 54/1800, time remaining: 20m 29s
Rendered 55/1800, time remaining: 20m 38s
Rendered 56/1800, time remaining: 20m 20s
Rendered 57/1800, time remaining: 20m 28s
Rendered 58/1800, time remaining: 20m 12s
Rendered 59/1800, time remaining: 20m 22s
Rendered 60/1800, time remaining: 20m 7s
Rendered 61/1800, time remaining: 20m 25s
Rendered 62/1800, time remaining: 20m 12s
Rendered 62/1800, time remaining: 20m 12s
Rendered 62/1800, time remaining: 20m 12s
Rendered 63/1800, time remaining: 20m 24s
Rendered 64/1800, time remaining: 20m 13s
Rendered 64/1800, time remaining: 20m 13s
Rendered 64/1800, time remaining: 20m 13s
Rendered 64/1800, time remaining: 20m 13s
Rendered 65/1800, time remaining: 20m 28s
Rendered 65/1800, time remaining: 20m 28s
Rendered 66/1800, time remaining: 20m 18s
Rendered 66/1800, time remaining: 20m 18s
Rendered 67/1800, time remaining: 20m 21s
Rendered 67/1800, time remaining: 20m 21s
Rendered 68/1800, time remaining: 20m 12s
Rendered 68/1800, time remaining: 20m 12s
Rendered 68/1800, time remaining: 20m 12s
Rendered 69/1800, time remaining: 20m 14s
Rendered 69/1800, time remaining: 20m 14s
Rendered 70/1800, time remaining: 20m 6s
Rendered 70/1800, time remaining: 20m 6s
Rendered 71/1800, time remaining: 20m 9s
Rendered 71/1800, time remaining: 20m 9s
Rendered 72/1800, time remaining: 20m 1s
Rendered 72/1800, time remaining: 20m 1s
Rendered 72/1800, time remaining: 20m 1s
Rendered 73/1800, time remaining: 20m 2s
Rendered 73/1800, time remaining: 20m 2s
Rendered 74/1800, time remaining: 20m 0s
Rendered 74/1800, time remaining: 20m 0s
Rendered 74/1800, time remaining: 20m 0s
Rendered 75/1800, time remaining: 20m 3s
Rendered 75/1800, time remaining: 20m 3s
Rendered 76/1800, time remaining: 20m 1s
Rendered 76/1800, time remaining: 20m 1s
Rendered 76/1800, time remaining: 20m 1s
Rendered 77/1800, time remaining: 20m 3s
